(0, -7.927705639710429)
(1, -3.2296315478402504)
(2, -2.599167495655982)
(3, -2.2505468341198034)
(4, -2.0361261084894817)
(5, -1.8883099273599235)
(6, -1.7974145574690084)
(7, -1.7074900851507293)
(8, -1.652641575685879)
(9, -1.616031453571263)
(10, -1.6070211570515829)
(11, -1.5880472866525899)
(12, -1.5580013896477554)
(13, -1.5485678087040153)
(14, -1.5105094176044864)
(15, -1.5285380604481242)
(16, -1.549679160120651)
(17, -1.53147622484184)
(18, -1.4758679596576647)
(19, -1.4764347514731657)
(20, -1.4403899764672772)
(21, -1.376438525589565)
(22, -1.292023285202772)
(23, -1.2484471266754866)
(24, -1.2111726688010416)
(25, -1.1849938790073635)
(26, -1.204125684851443)
(27, -1.171850821402409)
(28, -1.222250592788977)
(29, -1.1432817754148794)
(30, -1.117473723550383)
(31, -1.1027541218571195)
(32, -1.0818896657129327)
(33, -1.0862646479454825)
(34, -1.0857041710738289)
(35, -1.0765749623445375)
(36, -0.9980880819061324)
(37, -1.0221095184084958)
(38, -1.0287597525351442)
(39, -1.0273461709244984)
(40, -0.9800871938697102)
(41, -0.9560731268622318)
(42, -0.9869340164006342)
(43, -0.9758578810119996)
(44, -0.9692988931840393)
(45, -0.9563586223948528)
(46, -0.9518117824458486)
(47, -0.9819840936212846)
(48, -0.893538910706451)
(49, -0.8946399480058448)
(50, -0.8964345125216645)
(51, -0.877177798674081)
(52, -0.885026529418006)
(53, -0.8946411880524391)
(54, -0.8907464583119603)
(55, -0.9505886894293283)
(56, -0.8873495550972071)
(57, -0.8579047729526499)
(58, -0.854994433526082)
(59, -0.8380887732303531)
(60, -0.8073981899886604)
(61, -0.818990099374944)
(62, -0.8088997149845201)
(63, -0.8108094088033818)
(64, -0.7918238994314638)
(65, -0.7708244544469508)
(66, -0.7660534618796929)
(67, -0.74948873030894)
(68, -0.730921308305467)
(69, -0.7199034203257345)
(70, -0.7263792294160317)
(71, -0.738365834008506)
(72, -0.7426991462254611)
(73, -0.7759820074405156)
(74, -0.7771914153877769)
(75, -0.768912709912128)
(76, -0.7691634846640217)
